area,district,property_type,price,listing_type,price_text
30.0,Quận Thanh Xuân,khac,16000000,ban,16 triệu/tháng
50.0,Quận Thanh Xuân,khac,16000000,ban,16 triệu/tháng
50.0,Quận Long Biên,khac,11800000000,ban,"11,8 tỷ"
45.0,Quận Nam Từ Liêm,nha_pho,9200000000,ban,"9,2 tỷ"
50.0,Quận Long Biên,khac,12000000000,ban,12 tỷ
35.0,Quận Long Biên,khac,5900000000,ban,"5,9 tỷ"
55.0,Quận Nam Từ Liêm,khac,12500000000,ban,"12,5 tỷ"
50.0,Quận Hà Đông,khac,25000000,ban,25 triệu/tháng
70.0,Quận Nam Từ Liêm,khac,8600000000,ban,"8,6 tỷ"
30.0,Quận Hoàng Mai,khac,8000000,ban,8 triệu/tháng
65.0,Quận Long Biên,khac,13600000000,ban,"13,6 tỷ"
30.0,Quận Ba Đình,khac,12500000,ban,"12,5 triệu/tháng"
20.0,Quận Hai Bà Trưng,khac,5000000000,ban,5 tỷ
33.0,Huyện Thanh Oai,khac,3100000000,ban,"3,1 tỷ"
900.0,Huyện Sóc Sơn,khac,17000000000,ban,17 tỷ
368.0,Huyện Sóc Sơn,dat,1600000000,ban,"1,6 tỷ"
45.0,Quận Hai Bà Trưng,khac,12000000000,ban,12 tỷ
41.0,Huyện Phúc Thọ,dat,1450000000,ban,"1,45 tỷ"
37.0,Huyện Thanh Trì,dat,4500000000,ban,"4,5 tỷ"
56.0,Huyện Đông Anh,khac,3750000000,ban,"3,75 tỷ"
98.1998,Huyện Chương Mỹ,dat,2650000000,ban,"2,65 tỷ"
129.0,Huyện Sóc Sơn,khac,2600000000,ban,"2,6 tỷ"
60.0,Quận Bắc Từ Liêm,dat,11800000000,ban,"11,8 tỷ"
80.0,Huyện Thường Tín,dat,4300000000,ban,"4,3 tỷ"
116.0,Huyện Đông Anh,dat,6800000000,ban,"6,8 tỷ"
95.0,Huyện Gia Lâm,dat,7050000000,ban,"7,05 tỷ"
45.0999,Huyện Gia Lâm,dat,9200000000,ban,"9,2 tỷ"
539.0,Huyện Ba Vì,dat,5300000000,ban,"5,3 tỷ"
950.0,Huyện Ba Vì,dat,12500000000,ban,"12,5 tỷ"
55.0,Quận Long Biên,dat,12000000000,ban,12 tỷ
68.0,Huyện Phúc Thọ,dat,2210000000,ban,"2,21 tỷ"
506.0,Thị xã Sơn Tây,biet_thu,3700000000,ban,"3,7 tỷ"
58.0,Huyện Mê Linh,dat,1500000000,ban,"1,5 tỷ"
48.0,Quận Hà Đông,dat,9000000000,ban,9 tỷ
78.4,Huyện Thanh Oai,dat,9000000000,ban,9 tỷ
32.0,Quận Nam Từ Liêm,dat,5290000000,ban,"5,29 tỷ"
80.0,Huyện Đông Anh,dat,5200000000,ban,"5,2 tỷ"
100.0,Huyện Quốc Oai,khac,2400000000,ban,"2,4 tỷ"
106.0,Huyện Đông Anh,khac,10550000000,ban,"10,55 tỷ"
50.0,Quận Long Biên,dat,10500000000,ban,"10,5 tỷ"
40.0,Quận Bắc Từ Liêm,dat,4700000000,ban,"4,7 tỷ"
124.0,Huyện Thạch Thất,dat,3120000000,ban,"3,12 tỷ"
100.0,Huyện Quốc Oai,khac,2900000000,ban,"2,9 tỷ"
