property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_mat_pho,Quận Bắc Từ Liêm,40 m2,3,3,12 tỷ 500 triệu,Hôm nay,12500000000.0
nha_mat_pho,Quận Hai Bà Trưng,37 m2,4,4,19 tỷ,Hôm nay,19000000000.0
nha_mat_pho,Quận Bắc Từ Liêm,55 m2,0,0,6 tỷ 899 triệu,Hôm nay,6899000000.0
nha_mat_pho,Quận Hai Bà Trưng,57 m2,10,10,29 tỷ 800 triệu,Hôm nay,29800000000.0
nha_mat_pho,Quận Bắc Từ Liêm,35 m2,3,4,8 tỷ,Hôm nay,8000000000.0
nha_mat_pho,Quận Cầu Giấy,50 m2,6,5,39 tỷ,Hôm nay,39000000000.0
dat,Quận Tây Hồ,45 m2,0,0,13 tỷ,Hôm nay,13000000000.0
nha_mat_pho,Quận Đống Đa,100 m2,6,5,32 tỷ,Hôm nay,32000000000.0
nha_mat_pho,Quận Tây Hồ,50 m2,5,5,9 tỷ 800 triệu,Hôm nay,9800000000.0
nha_mat_pho,Quận Đống Đa,50 m2,6,5,36 tỷ 500 triệu,Hôm nay,36500000000.0
nha_mat_pho,Quận Bắc Từ Liêm,55 m2,6,4,11 tỷ 500 triệu,Hôm nay,11500000000.0
nha_mat_pho,Quận Ba Đình,43 m2,4,5,37 tỷ 500 triệu,Hôm nay,37500000000.0
nha_mat_pho,Quận Đống Đa,30 m2,4,5,23 tỷ 900 triệu,Hôm nay,23900000000.0
nha_mat_pho,Quận Đống Đa,72 m2,6,5,45 tỷ,Hôm nay,45000000000.0
nha_mat_pho,Quận Ba Đình,73 m2,6,6,55 tỷ,Hôm nay,55000000000.0
nha_mat_pho,Quận Hai Bà Trưng,30 m2,3,3,24 tỷ,Hôm nay,24000000000.0
nha_mat_pho,Quận Cầu Giấy,46 m2,6,5,40 tỷ,Hôm nay,40000000000.0
nha_mat_pho,Quận Đống Đa,46 m2,6,7,40 tỷ 500 triệu,Hôm nay,40500000000.0
nha_mat_pho,Quận Đống Đa,42 m2,6,4,29 tỷ 800 triệu,Hôm nay,29800000000.0
nha_mat_pho,Quận Đống Đa,40 m2,3,3,26 tỷ 500 triệu,Hôm nay,26500000000.0
nha_mat_pho,Quận Đống Đa,30 m2,3,3,22 tỷ 500 triệu,Hôm nay,22500000000.0
nha_mat_pho,Quận Hoàn Kiếm,30 m2,4,4,33 tỷ,Hôm nay,33000000000.0
nha_mat_pho,Quận Ba Đình,45 m2,4,5,32 tỷ,Hôm nay,32000000000.0
nha_mat_pho,Quận Hoàn Kiếm,37 m2,3,3,28 tỷ,Hôm nay,28000000000.0
nha_mat_pho,Quận Hai Bà Trưng,30 m2,5,5,20 tỷ,Hôm nay,20000000000.0
nha_mat_pho,Quận Hai Bà Trưng,125 m2,1,1,43 tỷ,Hôm nay,43000000000.0
nha_mat_pho,Quận Ba Đình,50 m2,9,9,38 tỷ 500 triệu,Hôm nay,38500000000.0
nha_mat_pho,Quận Đống Đa,30 m2,2,3,16 tỷ 900 triệu,Hôm nay,16900000000.0
